count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
6264       0.44010398369985243    8612.499999999924      4          2    2    2    2    3    3    1    4    4    
2398       0.16848169746364083    2398.0                 2          1    1    1    1    2    2    2    2    2    
2155       0.15140869809597415    2175.1666666666665     3          1    1    1    1    2    2    3    3    3    
1315       0.09239092250403991    1667.3055555555416     5          2    2    3    3    4    4    1    5    5    
1039       0.07299936766669009    1039.0                 3          2    2    2    2    3    3    1    3    3    
331        0.023255813953488372   331.9166666666667      4          1    1    2    2    3    3    4    4    4    
309        0.021710110307032952   329.1666666666667      3          1    1    1    1    2    2    2    3    3    
207        0.014543666128012365   207.0                  3          1    1    2    2    3    3    3    3    3    
144        0.010117332958617298   144.0                  4          2    2    3    3    4    4    1    4    4    
41         0.0028806295229396473  41.916666666666664     4          1    1    2    2    3    3    3    4    4    
16         0.0011241481065130331  21.666666666666668     5          4    4    4    4    5    5    1    2    3    
7          4.91814796599452E-4    7.0                    1          1    1    1    1    1    1    1    1    1    
6          4.215555399423874E-4   6.0                    5          4    4    4    4    1    2    3    5    5    
1          7.025925665706457E-5   1.0                    6          4    4    5    5    6    6    1    2    3    

