count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
2881       0.18799347471451877    13380.583333335351     9          1    2    3    4    5    6    7    8    9    
599        0.039086460032626426   13250.888888890715     7          6    6    1    2    7    7    3    4    5    
1471       0.09598694942903752    10566.583333334445     8          1    2    8    8    3    4    5    6    7    
910        0.059380097879282216   8678.86111111177       7          6    6    7    7    1    2    3    4    5    
657        0.04287112561174551    7501.083333333833      7          1    2    6    6    7    7    3    4    5    
433        0.028254486133768353   7187.250000000115      6          1    2    4    4    5    5    3    6    6    
1082       0.07060358890701468    6937.416666666627      8          1    2    3    4    8    8    5    6    7    
744        0.04854812398042414    6361.8333333335595     7          1    2    6    6    3    4    5    7    7    
358        0.0233605220228385     5587.805555555388      6          4    4    1    2    5    5    3    6    6    
1326       0.0865252854812398     5420.861111110987      8          8    8    1    2    3    4    5    6    7    
574        0.03745513866231648    3813.8888888886813     6          4    4    5    5    1    2    3    6    6    
632        0.041239804241435564   3583.0277777776114     7          6    6    1    2    3    4    5    7    7    
1119       0.0730179445350734     2596.8333333332835     8          1    2    3    4    5    6    7    8    8    
526        0.03432300163132137    1902.3611111111072     7          1    2    3    4    6    6    5    7    7    
126        0.008221859706362153   1335.6388888888855     7          7    1    7    7    2    3    4    5    6    
10         6.525285481239804E-4   1217.3888888888744     6          1    4    4    2    5    5    3    6    6    
490        0.03197389885807504    1115.4722222222101     6          4    4    5    5    6    6    1    2    3    
48         0.003132137030995106   1001.4722222222134     6          4    1    2    4    5    5    3    6    6    
148        0.00965742251223491    560.8333333333351      8          8    1    2    8    3    4    5    6    7    
418        0.02727569331158238    525.2500000000011      5          2    2    3    3    4    4    1    5    5    
94         0.006133768352365416   509.44444444444804     6          5    1    5    5    6    6    2    3    4    
20         0.0013050570962479609  446.91666666666964     8          8    1    8    2    3    4    5    6    7    
6          3.9151712887438824E-4  435.3055555555583      5          1    3    3    3    4    4    2    5    5    
12         7.830342577487765E-4   401.22222222222473     7          1    6    6    2    3    4    5    7    7    
58         0.0037846655791190864  390.69444444444656     7          6    1    2    6    3    4    5    7    7    
73         0.004763458401305057   379.22222222222416     7          6    1    2    6    7    7    3    4    5    
57         0.0037194127243066885  207.16666666666723     7          7    7    1    7    2    3    4    5    6    
3          1.9575856443719412E-4  181.88888888888874     6          4    5    5    4    1    2    3    6    6    
62         0.004045676998368678   168.6666666666669      5          3    1    3    3    4    4    2    5    5    
20         0.0013050570962479609  150.05555555555566     7          6    1    6    2    3    4    5    7    7    
14         9.135399673735726E-4   145.25000000000009     6          4    1    4    2    5    5    3    6    6    
53         0.003458401305057096   143.72222222222237     6          5    5    1    5    2    3    4    6    6    
4          2.610114192495922E-4   134.66666666666686     6          4    5    5    4    6    6    1    2    3    
30         0.001957585644371941   130.77777777777783     7          7    7    7    1    2    3    4    5    6    
10         6.525285481239804E-4   119.16666666666684     6          5    5    5    1    6    6    2    3    4    
36         0.0023491027732463294  90.86111111111116      6          5    5    1    5    6    6    2    3    4    
7          4.567699836867863E-4   71.30555555555551      6          1    5    5    5    6    6    2    3    4    
65         0.004241435562805873   67.75                  6          5    1    5    5    2    3    4    6    6    
5          3.262642740619902E-4   59.33333333333327      7          1    6    6    2    7    7    3    4    5    
8          5.220228384991844E-4   58.222222222222186     6          1    5    5    5    2    3    4    6    6    
9          5.872756933115824E-4   55.74999999999995      7          6    7    7    6    1    2    3    4    5    
10         6.525285481239804E-4   54.861111111111065     7          1    7    7    7    2    3    4    5    6    
6          3.9151712887438824E-4  47.83333333333331      7          1    6    2    6    3    4    5    7    7    
4          2.610114192495922E-4   46.111111111111086     6          1    4    2    4    5    5    3    6    6    
28         0.0018270799347471453  45.527777777777764     5          3    3    1    3    4    4    2    5    5    
5          3.262642740619902E-4   44.888888888888864     7          1    6    2    6    7    7    3    4    5    
1          6.525285481239805E-5   44.694444444444414     6          4    5    4    5    1    2    3    6    6    
19         0.001239804241435563   40.49999999999999      8          1    8    2    8    3    4    5    6    7    
12         7.830342577487765E-4   35.833333333333336     8          1    8    8    2    3    4    5    6    7    
12         7.830342577487765E-4   21.611111111111107     6          5    5    5    1    2    3    4    6    6    
9          5.872756933115824E-4   18.25                  7          6    1    6    2    7    7    3    4    5    
8          5.220228384991844E-4   11.666666666666666     5          3    3    3    1    4    4    2    5    5    
4          2.610114192495922E-4   4.0                    5          2    3    3    2    4    4    1    5    5    
2          1.305057096247961E-4   3.9444444444444446     6          1    2    5    5    3    4    6    6    6    
2          1.305057096247961E-4   2.9444444444444446     5          4    4    4    4    1    2    3    5    5    
1          6.525285481239805E-5   1.9722222222222223     7          6    7    6    7    1    2    3    4    5    
1          6.525285481239805E-5   1.9444444444444444     7          1    2    3    4    5    6    7    7    7    
1          6.525285481239805E-5   1.0                    6          4    5    4    5    6    6    1    2    3    
1          6.525285481239805E-5   1.0                    5          4    4    4    4    5    5    1    2    3    
1          6.525285481239805E-5   1.0                    5          3    3    4    4    1    2    5    5    5    

