count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
1509       0.19000251825736592    7659.50000000047       8          1    2    8    8    3    4    5    6    7    
1496       0.1883656509695291     6092.916666666632      9          1    2    3    4    5    6    7    8    9    
897        0.11294384286074037    4729.583333333257      8          8    8    1    2    3    4    5    6    7    
1078       0.13573407202216067    3938.3333333331943     6          4    4    5    5    1    2    3    6    6    
1756       0.22110299672626543    2866.472222222161      7          6    6    7    7    1    2    3    4    5    
13         0.0016368672878368168  2737.333333333263      6          4    4    1    2    5    5    3    6    6    
256        0.032233694283555776   1115.1666666666474     8          1    2    3    4    5    6    7    8    8    
456        0.05741626794258373    896.0833333333368      7          1    2    6    6    3    4    5    7    7    
12         0.0015109544195416771  446.25000000000364     7          6    6    1    2    7    7    3    4    5    
306        0.038529337698312766   433.4166666666676      7          6    6    1    2    3    4    5    7    7    
61         0.0076806849660035256  154.75000000000023     5          2    2    3    3    4    4    1    5    5    
8          0.001007302946361118   87.05555555555554      8          1    2    3    4    8    8    5    6    7    
39         0.004910601863510451   84.66666666666667      6          4    4    5    5    6    6    1    2    3    
20         0.0025182573659027953  44.999999999999986     7          1    2    6    6    7    7    3    4    5    
18         0.002266431629312516   28.36111111111111      6          1    2    4    4    5    5    3    6    6    
4          5.03651473180559E-4    10.749999999999998     5          3    3    4    4    1    2    5    5    5    
1          1.2591286829513975E-4  9.38888888888889       7          1    2    6    6    3    4    7    7    5    
1          1.2591286829513975E-4  6.527777777777779      6          4    4    5    5    1    2    6    6    3    
1          1.2591286829513975E-4  5.583333333333333      6          4    4    5    5    1    2    6    3    6    
5          6.295643414756988E-4   5.0                    7          1    2    3    4    6    6    5    7    7    
3          3.777386048854193E-4   4.888888888888889      6          1    2    5    5    3    4    6    6    6    
2          2.518257365902795E-4   2.0                    4          1    1    2    2    3    3    4    4    4    

