count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
5210       0.7366039869927895     6967.472222222419      5          2    2    3    3    4    4    1    5    5    
347        0.04905980489184222    1735.388888888844      6          4    4    5    5    6    6    1    2    3    
568        0.08030538668174748    1422.7777777777603     6          4    4    5    5    1    2    3    6    6    
377        0.053301286582779585   864.8888888888877      6          1    2    4    4    5    5    3    6    6    
207        0.029266223667467835   492.8888888888909      6          4    4    1    2    5    5    3    6    6    
33         0.004665629860031105   276.5833333333347      7          6    6    1    2    3    4    5    7    7    
62         0.008765728827937226   251.00000000000094     7          1    2    6    6    3    4    5    7    7    
5          7.069136151562279E-4   212.9166666666666      8          1    2    3    4    5    6    7    8    8    
32         0.004524247136999859   175.75000000000043     7          1    2    6    6    7    7    3    4    5    
14         0.0019793581224374383  146.5833333333337      8          8    8    1    2    3    4    5    6    7    
40         0.005655308921249823   136.47222222222226     7          1    2    3    4    6    6    5    7    7    
81         0.011452000565530892   134.27777777777783     7          6    6    7    7    1    2    3    4    5    
18         0.0025448890145624205  53.22222222222219      8          1    2    8    8    3    4    5    6    7    
36         0.005089778029124841   40.80555555555556      4          2    2    2    2    3    3    1    4    4    
29         0.0041000989679061215  37.61111111111111      7          6    6    1    2    7    7    3    4    5    
5          7.069136151562279E-4   8.88888888888889       9          1    2    3    4    5    6    7    8    9    
4          5.655308921249824E-4   4.0                    8          1    2    3    4    8    8    5    6    7    
2          2.827654460624912E-4   3.888888888888889      5          4    4    4    4    1    2    3    5    5    
2          2.827654460624912E-4   2.0                    5          4    4    4    4    5    5    1    2    3    
1          1.413827230312456E-4   1.0                    5          3    1    3    3    4    4    2    5    5    

